Training Run No	 Input 1 	Input 2	Weights	Calculation of Output	Output	Desired Output
1	1	1	Weights- 0.7145391086501031 0.32166085772777164 0.36190456182593267 	w.x + b = 1.3981045282038074 	1	
2	1	0	Weights- 0.9126561751304392 0.5197779242081078 0.5600216283062688 	w.x + b = 1.4726778034367078 	1	
3	0	1	Weights- 0.09919211732795896 0.5197779242081078 -0.25344242949621143 	w.x + b = 0.2663354947118963 	1	
4	0	0	Weights- 0.09919211732795896 -0.04641512981913942 -0.8196354835234586 	w.x + b = -0.8196354835234586 	0	
5	1	1	Weights- 0.09919211732795896 -0.04641512981913942 -1.1254765256239296 	w.x + b = -1.07269953811511 	0	
6	1	0	Weights- 0.8443020715891997 0.6986948244421013 -0.3803665713626889 	w.x + b = 0.46393550022651076 	1	
7	0	1	Weights- 0.23035470166355465 0.6986948244421013 -0.994313941288334 	w.x + b = -0.29561911684623265 	0	
8	0	0	Weights- 0.23035470166355465 0.2720660502939804 -1.420942715436455 	w.x + b = -1.420942715436455 	0	
9	1	1	Weights- 0.23035470166355465 0.2720660502939804 -1.6154565535279635 	w.x + b = -1.1130358015704285 	0	
10	1	0	Weights- 0.9830493470541041 1.0247606956845299 -0.862761908137414 	w.x + b = 0.12028743891669003 	1	
11	0	1	Weights- 0.4530136942529618 1.0247606956845299 -1.3927975609385563 	w.x + b = -0.36803686525402646 	0	
12	0	0	Weights- 0.4530136942529618 0.6157452265189116 -1.8018130301041746 	w.x + b = -1.8018130301041746 	0	
13	1	1	Weights- 0.4530136942529618 0.6157452265189116 -1.943443539321057 	w.x + b = -0.8746846185491837 	0	
14	1	0	Weights- 1.1587332280861495 1.3214647603520993 -1.2377240054878693 	w.x + b = -0.07899077740171978 	0	
15	0	1	Weights- 0.6784706607904665 1.3214647603520993 -1.7179865727835524 	w.x + b = -0.3965218124314531 	0	
16	0	0	Weights- 0.6784706607904665 0.9193164624221706 -2.120134870713481 	w.x + b = -2.120134870713481 	0	
17	1	1	Weights- 0.6784706607904665 0.9193164624221706 -2.2272900370390967 	w.x + b = -0.6295029138264596 	0	
18	1	0	Weights- 1.3308474016605532 1.5716932032922575 -1.5749132961690098 	w.x + b = -0.24406589450845662 	0	
19	0	1	Weights- 0.8915627821241402 1.5716932032922575 -2.014197915705423 	w.x + b = -0.44250471241316536 	0	
20	0	0	Weights- 0.8915627821241402 1.1805488947670448 -2.4053422242306355 	w.x + b = -2.4053422242306355 	0	
21	1	1	Weights- 0.8915627821241402 1.1805488947670448 -2.4881084554982404 	w.x + b = -0.41599677860705553 	0	
22	1	0	Weights- 1.494087700545194 1.7830738131880985 -1.8855835370771867 	w.x + b = -0.3914958365319927 	0	
23	0	1	Weights- 1.090730440113266 1.7830738131880985 -2.2889407975091145 	w.x + b = -0.505866984321016 	0	
24	0	0	Weights- 1.090730440113266 1.4069109136510336 -2.665103697046179 	w.x + b = -2.665103697046179 	0	
25	1	1	Weights- 1.090730440113266 1.4069109136510336 -2.7301678783119385 	w.x + b = -0.2325265245476391 	0	
26	1	0	Weights- 1.648601555148493 1.9647820286862605 -2.1722967632767114 	w.x + b = -0.5236952081282185 	0	
27	0	1	Weights- 1.2766129779493216 1.9647820286862605 -2.544285340475883 	w.x + b = -0.5795033117896224 	0	
28	0	0	Weights- 1.2766129779493216 1.6057351390644214 -2.903332230097722 	w.x + b = -2.903332230097722 	0	
29	1	1	Weights- 1.2766129779493216 1.6057351390644214 -2.955321314757732 	w.x + b = -0.07297319774398892 	0	
30	1	0	Weights- 1.7948481860966896 2.1239703472117895 -2.437086106610364 	w.x + b = -0.6422379205136743 	0	
31	0	1	Weights- 1.4501073563416578 2.1239703472117895 -2.7818269363653956 	w.x + b = -0.6578565891536061 	0	
32	0	0	Weights- 1.4501073563416578 1.7827490839160376 -3.1230481996611474 	w.x + b = -3.1230481996611474 	0	
33	1	1	Weights- 1.4501073563416578 1.7827490839160376 -3.165214687411316 	w.x + b = 0.06764175284637908 	0	
34	1	0	Weights- 1.9332033628590841 2.265845090433464 -2.6821186808938897 	w.x + b = -0.7489153180348056 	0	
35	0	1	Weights- 1.6121456693442453 2.265845090433464 -3.0031763744087288 	w.x + b = -0.7373312839752648 	0	
36	0	0	Weights- 1.6121456693442453 1.942257096519389 -3.3267643683228036 	w.x + b = -3.3267643683228036 	0	
37	1	1	Weights- 1.6121456693442453 1.942257096519389 -3.3614287087878174 	w.x + b = 0.19297405707581694 	1	
38	1	0	Weights- 2.0640513112894796 2.3941627384646234 -2.909523066842583 	w.x + b = -0.8454717555531035 	0	
39	0	1	Weights- 1.7636676892741192 2.3941627384646234 -3.2099066888579433 	w.x + b = -0.8157439503933199 	0	
40	0	0	Weights- 1.7636676892741192 2.0874948912630513 -3.5165745360595153 	w.x + b = -3.5165745360595153 	0	
41	1	1	Weights- 1.7636676892741192 2.0874948912630513 -3.5454188324110403 	w.x + b = 0.3057437481261305 	1	
42	1	0	Weights- 2.18782166945981 2.5116488714487417 -3.12126485222535 	w.x + b = -0.9334431827655401 	0	
43	0	1	Weights- 1.905594979675027 2.5116488714487417 -3.4034915420101326 	w.x + b = -0.8918426705613909 	0	
44	0	0	Weights- 1.905594979675027 2.2209191601130303 -3.694221253345844 	w.x + b = -3.694221253345844 	0	
45	1	1	Weights- 1.905594979675027 2.2209191601130303 -3.7184847096326252 	w.x + b = 0.4080294301554317 	1	
46	1	0	Weights- 2.3049797004982384 2.620303880936242 -3.3190999888094135 	w.x + b = -1.014120288311175 	0	
47	0	1	Weights- 2.0388054222154386 2.620303880936242 -3.5852742670922133 	w.x + b = -0.9649703861559713 	0	
48	0	0	Weights- 2.0388054222154386 2.344419735726999 -3.861158412301456 	w.x + b = -3.861158412301456 	0	
49	1	1	Weights- 2.0388054222154386 2.344419735726999 -3.8817683138316736 	w.x + b = 0.5014568441107636 	1	
50	1	0	Weights- 2.4160037883682115 2.721618101879772 -3.5045699476789007 	w.x + b = -1.0885661593106892 	0	
51	0	1	Weights- 2.164115412278034 2.721618101879772 -3.756458323769078 	w.x + b = -1.034840221889306 	0	
