CardNo,Location,Designation,TACategory,dob,Age,Basic
1765,Noida,Business Head,II,01-06-1957,63.00,2.57
3208,Noida,Head,II,27-02-1963,57.00,2.65
1510,Noida,Head,II,12-04-1965,55.00,2.65
0037,Noida,Assistant General Manager,V,10-04-1953,67.00,0.83
1762,Noida,Head,I,30-06-1965,55.00,2.64
5141,Noida,Head,II,04-05-1961,59.00,2.60
0022,Noida,Head,II,05-12-1960,60.00,2.49
0325,Noida,Head,II,18-01-1965,55.00,2.39
5009,Noida,Head,II,20-06-1966,54.00,2.38
5233,Noida,Head,II,17-06-1966,54.00,2.25
5147,Noida,Business Head,II,18-04-1967,53.00,1.88
5206,Noida,Sr. Vice President,III,17-07-1966,54.00,1.70
1241,Noida,Head,II,10-08-1968,52.00,2.38
1846,Noida,Sr. Vice President,IIIA,10-01-1967,53.00,1.57
0122,Noida,Executive I,VIII,21-06-1971,49.00,0.33
0321,Noida,Sr. Vice President,IIIA,27-09-1964,56.00,1.56
0290,Noida,Sr. Vice President,IIIA,31-12-1957,63.00,1.49
2258,Noida,Sr. Vice President,IIIA,27-01-1967,53.00,1.42
0482,Noida,Sr. Vice President,IIIA,03-09-1954,66.00,1.42
1239,Pune,Associate Vice President,IV,15-12-1963,57.00,1.19
0861,Noida,Associate Vice President,IIIB,07-07-1966,54.00,1.18
0016,Noida,Sr. Vice President,IIIA,06-01-1956,64.00,1.41
0144,Noida,Assistant Manager,VII,28-07-1968,52.00,0.37
0147,Noida,Senior Manager,VI,19-07-1972,48.00,0.62
0148,Noida,Manager,VII,25-05-1970,50.00,0.53
0150,Noida,Deputy Manager,VII,06-06-1970,50.00,0.38
0057,Noida,Sr. Vice President,IIIA,18-08-1970,50.00,1.37
2110,Noida,Associate Vice President,IV,26-09-1966,54.00,1.06
2532,Noida,Associate Vice President,IIIB,01-07-1967,53.00,1.05
3004,Noida,General Manager,IV,12-03-1962,58.00,1.04
0054,Noida,General Manager,IV,01-05-1962,58.00,0.99
0180,Noida,Deputy Manager,VII,05-05-1970,50.00,0.44
0199,Noida,Officer-III,IX,30-05-1970,50.00,0.25
3075,Noida,Deputy General Manager,V,11-05-1967,53.00,0.97
0216,Noida,Officer-I,VIII,20-05-1969,51.00,0.32
0218,Noida,Executive I,VII,24-06-1974,46.00,0.41
0219,Noida,Assistant Officer,IX,07-12-1968,52.00,0.22
1903,Noida,General Manager,IV,17-05-1965,55.00,0.97
1356,Noida,General Manager,IV,23-04-1961,59.00,0.97
2510,Noida,General Manager,IV,04-01-1962,58.00,0.97
1413,Noida,General Manager,IV,29-05-1967,53.00,0.96
0229,Noida,Officer-III,VIII,10-01-1976,44.00,0.25
0042,Noida,General Manager,IV,05-03-1961,59.00,0.93
3069,Noida,Associate Vice President,IIIB,01-04-1963,57.00,0.90
5014,Noida,General Manager,IV,19-04-1960,60.00,0.89
2829,Noida,General Manager,IV,18-08-1962,58.00,0.88
0252,Noida,Officer-I,VIII,20-06-1971,49.00,0.29
0273,Noida,Junior Assitant,XII,11-11-1968,52.00,0.05
0040,Noida,Deputy General Manager,V,02-09-1962,58.00,0.86
0295,Noida,General Manager,IV,03-02-1975,45.00,0.90
3691,Site,Assistant General Manager,V,16-08-1966,54.00,0.76
0075,Noida,Assistant General Manager,V,15-12-1960,60.00,0.75
3207,Noida,Assistant General Manager,V,15-09-1964,56.00,0.75
2683,Noida,Vice President,IIIB,29-12-1969,51.00,1.30
0330,Noida,Assistant General Manager,V,18-08-1973,47.00,0.74
3401,Site,Assistant General Manager,V,05-12-1965,55.00,0.74
0357,Site,Assistant General Manager,V,01-03-1959,61.00,0.79
1709,Pune,Deputy General Manager,V,01-06-1965,55.00,0.73
0381,Noida,Deputy General Manager,V,01-11-1969,51.00,0.80
2299,Chennai,Vice President,IIIB,03-11-1970,50.00,1.30
0389,Noida,Senior Engineer,VIII,05-07-1975,45.00,0.30
0079,Noida,Vice President,IIIB,04-09-1969,51.00,1.29
0439,Noida,General Manager,V,09-12-1974,46.00,0.92
0477,Noida,Manager,VI,10-12-1974,46.00,0.57
0479,Noida,Officer-I,VIII,14-08-1979,41.00,0.28
0480,Site,Manager,VI,05-12-1968,52.00,0.49
0036,Noida,Vice President,IIIB,23-05-1963,57.00,1.30
0495,Noida,Deputy General Manager,IV,22-08-1970,50.00,0.86
0498,Noida,Assistant Manager,VII,14-01-1972,48.00,0.36
0516,Site,Manager,VII,01-12-1976,44.00,0.49
0521,Noida,Deputy Manager,VII,01-07-1972,48.00,0.45
0544,Noida,Senior Manager,VI,30-12-1982,38.00,0.62
0552,Noida,Assistant General Manager,IV,17-09-1969,51.00,0.68
0056,Noida,Vice President,IIIB,27-08-1970,50.00,1.28
0565,Chennai,Senior Manager,VI,03-03-1982,38.00,0.60
0586,Site,Deputy Manager,VII,13-03-1976,44.00,0.44
0588,Noida,Assistant Manager,VIII,05-01-1970,50.00,0.34
0590,Noida,Assistant Design Controller,VII,09-03-1985,35.00,0.33
3645,Chennai,Assistant General Manager,V,06-07-1965,55.00,0.72
0592,Noida,Associate Vice President,IV,16-01-1973,47.00,1.14
0619,Noida,Officer-II,VIII,05-12-1978,42.00,0.24
0620,Site,Manager,VI,01-07-1972,48.00,0.60
0627,Noida,Designer,VIII,20-08-1984,36.00,0.22
0631,Noida,Assistant Design Controller,VII,05-03-1980,40.00,0.31
0633,Noida,Designer,IX,15-03-1988,32.00,0.22
0635,Noida,Engineer-II,IX,17-12-1982,38.00,0.24
0636,Noida,Assistant Engineer,IX,04-02-1983,37.00,0.19
0638,Noida,Assistant Engineer,IX,02-10-1983,37.00,0.20
0639,Noida,Assistant Manager,VII,27-12-1984,36.00,0.35
0649,Site,Manager,VII,15-04-1974,46.00,0.52
0654,Noida,Engineer-II,IX,15-06-1980,40.00,0.23
0657,Noida,Deputy Manager,VII,15-08-1983,37.00,0.41
0668,Noida,Assistant Manager,VII,20-05-1977,43.00,0.38
0674,Noida,Assistant General Manager,V,15-05-1958,62.00,0.78
0679,Noida,Deputy Manager,VII,06-06-1973,47.00,0.40
0691,Noida,Deputy General Manager,V,28-02-1973,47.00,0.81
0693,Noida,Senior Engineer,VIII,02-08-1975,45.00,0.31
0705,Noida,Assistant Manager,VII,12-06-1980,40.00,0.36
0713,Noida,General Manager,IV,03-08-1972,48.00,0.91
0719,Noida,Assistant Manager,VIII,03-11-1981,39.00,0.41
0728,Pune,Senior Manager,VII,03-05-1981,39.00,0.56
0730,Site,Deputy Manager,VII,24-01-1972,48.00,0.36
0737,Noida,Assistant Manager,VIII,29-03-1983,37.00,0.35
0742,Noida,Designer,IX,20-07-1980,40.00,0.22
0746,Noida,Assistant General Manager,VI,05-05-1982,38.00,0.66
0747,Noida,Manager,VII,03-06-1977,43.00,0.54
0760,Noida,Officer-III,IX,20-08-1985,35.00,0.22
0762,Noida,Senior Engineer,VIII,14-08-1978,42.00,0.29
0765,Noida,Manager,VII,17-09-1978,42.00,0.55
0772,Noida,General Manager,IV,26-01-1972,48.00,1.02
0775,Noida,Deputy General Manager,IV,27-05-1973,47.00,0.78
0778,Noida,Designer,IX,20-09-1983,37.00,0.24
0779,Noida,Assistant Engineer,IX,30-01-1981,39.00,0.20
0782,Noida,Designer,IX,15-08-1983,37.00,0.23
0783,Noida,Manager,VI,11-07-1975,45.00,0.50
0789,Noida,Senior Manager,VI,10-07-1971,49.00,0.56
0793,Noida,Assistant Engineer,IX,04-10-1983,37.00,0.18
0797,Noida,Designer,VIII,13-11-1983,37.00,0.23
0800,Site,Senior Manager,VI,01-07-1969,51.00,0.59
0807,Noida,Engineer-II,VIII,16-08-1976,44.00,0.27
0820,Noida,Senior Manager,VII,20-01-1973,47.00,0.52
0823,Noida,Assistant Manager,VIII,31-05-1981,39.00,0.36
0830,Site,Assistant Manager,VII,03-07-1987,33.00,0.31
0841,Site,Assistant Manager,VIII,05-03-1988,32.00,0.32
0846,Noida,Manager,VII,11-06-1982,38.00,0.59
0856,Site,Senior Manager,VI,17-04-1972,48.00,0.65
0860,Noida,Deputy Manager,VII,11-06-1983,37.00,0.40
0069,Noida,Deputy General Manager,V,20-10-1960,60.00,0.72
0877,Site,Deputy Manager,VII,02-05-1982,38.00,0.44
0881,Noida,Engineer-II,VIII,18-06-1982,38.00,0.26
0885,Noida,Design Associate I,IX,01-07-1989,31.00,0.18
0895,Noida,Assistant Engineer,IX,10-12-1986,34.00,0.19
0896,Noida,Deputy Manager,VIII,26-08-1975,45.00,0.38
0898,Noida,Junior Officer,IX,06-03-1976,44.00,0.18
2688,Noida,Manager,VI,03-04-1964,56.00,0.71
